lambda_true,n_total,mean_shots_per_setting,min_shots_per_setting,visibility,dephasing,control_crosstalk,operation_crosstalk,effective_visibility,effective_crosstalk,drift,path_loss,correction,lr_crit,power,false_positive_miscalibrated,lambda_hat_mean,lambda_hat_sd,bootstrap_lambda_sd,sigma_lambda_fisher,sigma_lambda_shrunk,shrinkage_alpha,projected_direction_norm,null_sd,signal_to_noise_proxy,applicability_passed
0.0,800,32.708333333333336,32,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,4.355604159335922,0.0,0.0125,-0.1282807452585058,0.4712214318680124,0.33926292930505725,0.3121095793534822,0.3814185801836141,0.9340043363050748,1.0,0.49831477822945713,0.0,True
0.02,800,32.708333333333336,32,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,4.355604159335922,0.0,0.0125,0.06017810964513392,0.43805842115658716,0.26158862658352033,0.31210978847436366,0.3207785668652294,0.5211064565092173,1.0,0.49831477822945713,0.035402923555031614,True
0.05,800,32.708333333333336,32,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,4.355604159335922,0.03333333333333333,0.0125,0.03335464683639132,0.4773801574542856,0.5376950890815285,0.31209972433120303,0.5085481766417719,0.5861079252193384,1.0,0.49831477822945713,0.08850730888757903,True
0.0,800,32.708333333333336,32,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,3.920230336210495,0.0,0.0125,-0.10896844852407633,0.4019338039252056,0.33504030949521413,0.3121095793534822,0.39309281239421234,0.8976452196382477,1.0,0.4809071687424205,0.0,True
0.02,800,32.708333333333336,32,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,3.920230336210495,0.0,0.0125,-0.01145467824483051,0.3545097529058356,0.4135721398956091,0.31210963780935314,0.414681278743063,0.32856162046869053,1.0,0.4809071687424205,0.038722442106023394,True
0.05,800,32.708333333333336,32,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,3.920230336210495,0.03333333333333333,0.0125,-0.016825594453223618,0.6060694320718781,0.4323349548584047,0.31209816246499084,0.4021817165894581,0.4635157637114994,1.0,0.4809071687424205,0.09680610526505849,True
0.0,800,32.708333333333336,32,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,4.129098321048257,0.0,0.0125,0.0041019800058548165,0.4925656672841145,0.23702220097943588,0.3121095793534822,0.3204204078418698,0.507762154352367,1.0,0.4583540565706571,0.0,True
0.02,800,32.708333333333336,32,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,4.129098321048257,0.03333333333333333,0.0125,0.16036873284736483,0.4835412593984092,0.32841917753315814,0.3121095727603023,0.358660729801691,0.4748497859015923,1.0,0.4583540565706571,0.04148308436988585,True
0.05,800,32.708333333333336,32,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,4.129098321048257,0.03333333333333333,0.0125,0.007890117207439559,0.512955659261406,0.4376474720285242,0.31209750781578605,0.3587538788976073,0.8886224652965273,1.0,0.4583540565706571,0.10370771092471462,True
0.0,2000,82.16666666666667,81,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,3.5980490878014817,0.03333333333333333,0.0125,0.0195770348564635,0.3362562440343937,0.17663615403976834,0.19498106234030538,0.243723979658414,0.5417414793824513,1.0,0.33818195825603975,0.0,True
0.02,2000,82.16666666666667,81,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,3.5980490878014817,0.0,0.0125,0.00046519469805708093,0.23858025565531749,0.23995077578348764,0.19498119299513228,0.2515340712028558,0.42084368416347884,1.0,0.33818195825603975,0.05216659129592975,True
0.05,2000,82.16666666666667,81,0.9,0.01,0.01,0.01,0.88209,0.01990000000000003,0.005,0.02,interleaved,3.5980490878014817,0.0,0.0125,0.0565995132169995,0.320695729325297,0.2393420636996212,0.19497490528557607,0.2522140753455345,0.6829376093832498,1.0,0.33818195825603975,0.13041647823982438,True
0.0,2000,82.16666666666667,81,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,5.411894255741737,0.0,0.0375,-0.10775544304440388,0.2810177813763035,0.19842599610895023,0.19498106234030538,0.22018226450499037,0.6244713316664505,1.0,0.2766837081405144,0.0,True
0.02,2000,82.16666666666667,81,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,5.411894255741737,0.0,0.0375,-0.06375327788857196,0.3029187417264943,0.14618112355838042,0.1949810988652485,0.20521392645325442,0.448658360961925,1.0,0.2766837081405144,0.06730392665744825,True
0.05,2000,82.16666666666667,81,0.95,0.01,0.01,0.01,0.931095,0.01990000000000003,0.005,0.02,interleaved,5.411894255741737,0.03333333333333333,0.0375,0.11265253138863164,0.2716453899332334,0.2103688780091543,0.19497392948820017,0.23101646485841998,0.6164499410914752,1.0,0.2766837081405144,0.16825981664362066,True
0.0,2000,82.16666666666667,81,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,3.4427068622132504,0.03333333333333333,0.0,-0.01740021897776849,0.28107092186432264,0.212819943300292,0.19498106234030538,0.2291795602512612,0.5159592784947501,1.0,0.2816807681712725,0.0,True
0.02,2000,82.16666666666667,81,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,3.4427068622132504,0.06666666666666667,0.0,0.04629828669849862,0.2617071142265516,0.18412641461002258,0.1949810582250194,0.25288317662349385,0.5522866562925455,1.0,0.2816807681712725,0.06750173298462041,True
0.05,2000,82.16666666666667,81,0.97,0.01,0.01,0.01,0.9506969999999999,0.01990000000000003,0.005,0.02,interleaved,3.4427068622132504,0.0,0.0,0.04943496704532184,0.26550477274774875,0.22773427876158586,0.1949735204871055,0.22576663525459037,0.6569488114804376,1.0,0.2816807681712725,0.168754332461551,True
